105 x=[114,162] y=[364,384] w=48 text='Bk-2'
106 x=[935,986] y=[364,386] w=52 text='MBA'
107 x=[1038,1075] y=[363,386] w=36 text='100'
108 x=[1172,1199] y=[363,387] w=27 text='35'
109 x=[1291,1324] y=[363,386] w=32 text='2.5'
110 x=[185,228] y=[373,398] w=42 text='(1)'
111 x=[271,320] y=[374,397] w=49 text='(64)'
112 x=[474,524] y=[375,397] w=50 text='(35)'
113 x=[595,644] y=[375,396] w=49 text='(12)'
114 x=[712,751] y=[374,397] w=39 text='(3)'
115 x=[840,881] y=[374,398] w=40 text='(1)'
116 x=[186,227] y=[402,422] w=40 text='PI-1'
117 x=[275,315] y=[402,422] w=40 text='PI-1'
118 x=[471,528] y=[402,421] w=57 text='DPHA'
119 x=[581,656] y=[403,420] w=75 text='NCI-831'
120 x=[676,785] y=[403,420] w=110 text='Bk-S0100CF'
121 x=[825,896] y=[403,421] w=72 text='S-20000'
122 x=[7,163] y=[414,435] w=156 text='比较例 5|90|Bk-2'
123 x=[935,986] y=[414,435] w=51 text='MBA'
124 x=[1038,1074] y=[413,437] w=35 text='100'
125 x=[1173,1199] y=[413,437] w=26 text='35'
126 x=[1289,1329] y=[413,436] w=40 text='10.0'
127 x=[178,233] y=[424,446] w=55 text='(4.3)'
128 x=[263,328] y=[425,447] w=65 text='(60.7)'
129 x=[474,524] y=[425,447] w=50 text='(35)'
130 x=[594,644] y=[424,448] w=50 text='(12)'
131 x=[699,763] y=[426,447] w=64 text='(12.9)'
132 x=[834,887] y=[425,447] w=54 text='(4.3)'
133 x=[186,227] y=[452,472] w=40 text='PI-1'
134 x=[275,315] y=[452,472] w=40 text='PI-1'
135 x=[471,528] y=[452,471] w=57 text='DPHA'
136 x=[581,656] y=[453,470] w=75 text='NCI-831'
137 x=[676,786] y=[453,470] w=111 text='Bk-S0100CF'
138 x=[825,896] y=[452,471] w=72 text='S-20000'
139 x=[7,112] y=[463,484] w=105 text='比较例 691'
140 x=[116,162] y=[464,484] w=46 text='Bk-2'
141 x=[935,986] y=[463,485] w=52 text='MBA'
142 x=[1038,1074] y=[463,485] w=35 text='100'
143 x=[1172,1199] y=[463,486] w=27 text='35'
144 x=[1288,1329] y=[463,485] w=41 text='22.0'
145 x=[175,238] y=[476,497] w=64 text='(11.6)'
146 x=[263,328] y=[476,496] w=65 text='(53.4)'
147 x=[475,524] y=[475,497] w=49 text='(35)'
148 x=[594,644] y=[475,497] w=50 text='(12)'
149 x=[699,763] y=[476,496] w=64 text='(34.8)'
150 x=[829,892] y=[476,497] w=64 text='(11.6)'
151 x=[696,767] y=[502,521] w=71 text='P.R.254'
152 x=[698,764] y=[525,546] w=66 text='(21.9)'
153 x=[186,227] y=[550,570] w=40 text='PI-1'
154 x=[275,315] y=[549,571] w=40 text='PI-1'
155 x=[471,529] y=[550,570] w=58 text='DPHA'
156 x=[581,656] y=[550,569] w=75 text='NCI-831'
157 x=[696,766] y=[550,570] w=70 text='P.Y.139'
158 x=[809,912] y=[551,569] w=103 text='D.BYK-167'
159 x=[7,163] y=[563,583] w=156 text='比较例 792|Bk-6'
160 x=[935,986] y=[563,583] w=51 text='MBA'
161 x=[1038,1073] y=[562,584] w=34 text='100'
162 x=[1173,1198] y=[563,584] w=25 text='35'
163 x=[1288,1329] y=[562,584] w=41 text='32.0'
164 x=[175,238] y=[574,595] w=64 text='(20.9)'
165 x=[263,328] y=[574,595] w=65 text='(44.1)'
166 x=[474,524] y=[573,596] w=50 text='(35)'
167 x=[594,644] y=[574,596] w=50 text='(12)'
168 x=[704,757] y=[574,595] w=53 text='(9.4)'
169 x=[829,892] y=[574,596] w=64 text='(20.9)'
170 x=[693,769] y=[600,618] w=76 text='P.B.15:6'
171 x=[699,763] y=[623,644] w=64 text='(31.3)'
172 x=[275,316] y=[651,672] w=41 text='PI-1'
173 x=[432,557] y=[651,671] w=125 text='DPHA(25)'
174 x=[581,656] y=[651,670] w=75 text='NCI-831'
175 x=[935,986] y=[652,672] w=50 text='MBA'
176 x=[7,111] y=[662,684] w=104 text='比较例 893'
177 x=[1038,1074] y=[662,685] w=35 text='100'
178 x=[1173,1199] y=[662,685] w=26 text='35'
179 x=[1292,1324] y=[662,685] w=31 text='0.0'
180 x=[271,320] y=[673,697] w=49 text='(65)'
181 x=[427,565] y=[676,697] w=138 text='A-BPEF (10)'
182 x=[594,644] y=[674,696] w=50 text='(12)'
183 x=[925,995] y=[676,695] w=71 text='PGMEA'
